path,size_bytes,modified,type
.mypy_cache/3.11/itertools.meta.json,1019,2025-12-31T14:56:27.323028,.json
.mypy_cache/3.11/timeit.meta.json,900,2025-12-31T14:56:26.746555,.json
.mypy_cache/3.11/dataclasses.data.json,90913,2025-12-31T14:56:26.585107,.json
.mypy_cache/3.11/typing.data.json,610736,2025-12-31T14:56:26.518747,.json
.mypy_cache/3.11/code.meta.json,998,2025-12-31T14:56:27.521620,.json
.mypy_cache/3.11/_heapq.data.json,16145,2025-12-31T14:56:27.217113,.json
.mypy_cache/3.11/mimetypes.meta.json,896,2025-12-31T14:56:27.283630,.json
.mypy_cache/3.11/_lsprof.meta.json,1014,2025-12-31T14:56:26.768204,.json
.mypy_cache/3.11/gc.data.json,18501,2025-12-31T14:56:26.964036,.json
.mypy_cache/3.11/rlcompleter.meta.json,721,2025-12-31T14:56:26.769984,.json
.mypy_cache/3.11/_decimal.data.json,12971,2025-12-31T14:56:27.613505,.json
.mypy_cache/3.11/_hashlib.meta.json,1016,2025-12-31T14:56:27.453747,.json
.mypy_cache/3.11/base64.meta.json,825,2025-12-31T14:56:27.328167,.json
.mypy_cache/3.11/pdb.data.json,104730,2025-12-31T14:56:28.259208,.json
.mypy_cache/3.11/queue.meta.json,1051,2025-12-31T14:56:28.374491,.json
.mypy_cache/3.11/_bisect.meta.json,892,2025-12-31T14:56:26.940847,.json
.mypy_cache/3.11/tomllib.meta.json,1014,2025-12-31T14:56:27.207676,.json
.mypy_cache/3.11/wave.meta.json,944,2025-12-31T14:56:26.904145,.json
.mypy_cache/3.11/_sitebuiltins.meta.json,844,2025-12-31T14:56:26.693233,.json
.mypy_cache/3.11/_locale.meta.json,827,2025-12-31T14:56:26.741735,.json
.mypy_cache/3.11/getopt.data.json,19456,2025-12-31T14:56:26.811558,.json
.mypy_cache/3.11/dis.meta.json,1064,2025-12-31T14:56:27.549644,.json
.mypy_cache/3.11/resource.data.json,44397,2025-12-31T14:56:26.538981,.json
.mypy_cache/3.11/_codecs.meta.json,1072,2025-12-31T14:56:26.694134,.json
.mypy_cache/3.11/glob.meta.json,953,2025-12-31T14:56:26.816749,.json
.mypy_cache/3.11/posixpath.data.json,132451,2025-12-31T14:56:26.546349,.json
.mypy_cache/3.11/gettext.meta.json,1119,2025-12-31T14:56:27.001472,.json
.mypy_cache/3.11/errno.meta.json,889,2025-12-31T14:56:27.190652,.json
.mypy_cache/3.11/argparse.data.json,240513,2025-12-31T14:56:27.482415,.json
.mypy_cache/3.11/runpy.data.json,12636,2025-12-31T14:56:26.852839,.json
.mypy_cache/3.11/contextlib.meta.json,1072,2025-12-31T14:56:26.691845,.json
.mypy_cache/3.11/shutil.meta.json,1123,2025-12-31T14:56:28.394477,.json
.mypy_cache/3.11/zipimport.data.json,19681,2025-12-31T14:56:26.498201,.json
.mypy_cache/3.11/termios.data.json,44846,2025-12-31T14:56:26.934989,.json
.mypy_cache/3.11/_codecs.data.json,61033,2025-12-31T14:56:26.638281,.json
.mypy_cache/3.11/glob.data.json,16213,2025-12-31T14:56:26.816418,.json
.mypy_cache/3.11/gettext.data.json,65828,2025-12-31T14:56:27.001129,.json
.mypy_cache/3.11/posixpath.meta.json,1079,2025-12-31T14:56:26.682411,.json
.mypy_cache/3.11/contextlib.data.json,157567,2025-12-31T14:56:26.588020,.json
.mypy_cache/3.11/shutil.data.json,109478,2025-12-31T14:56:28.394148,.json
.mypy_cache/3.11/argparse.meta.json,1070,2025-12-31T14:56:27.482722,.json
.mypy_cache/3.11/errno.data.json,23450,2025-12-31T14:56:27.188439,.json
.mypy_cache/3.11/runpy.meta.json,890,2025-12-31T14:56:26.853099,.json
.mypy_cache/3.11/termios.meta.json,950,2025-12-31T14:56:26.935350,.json
.mypy_cache/3.11/zipimport.meta.json,1235,2025-12-31T14:56:26.680343,.json
.mypy_cache/3.11/wave.data.json,66139,2025-12-31T14:56:26.903896,.json
.mypy_cache/3.11/_bisect.data.json,80759,2025-12-31T14:56:26.940357,.json
.mypy_cache/3.11/tomllib.data.json,6520,2025-12-31T14:56:27.206501,.json
.mypy_cache/3.11/_locale.data.json,27006,2025-12-31T14:56:26.741416,.json
.mypy_cache/3.11/_sitebuiltins.data.json,8953,2025-12-31T14:56:26.632570,.json
.mypy_cache/3.11/getopt.meta.json,776,2025-12-31T14:56:26.811847,.json
.mypy_cache/3.11/resource.meta.json,829,2025-12-31T14:56:26.682045,.json
.mypy_cache/3.11/dis.data.json,82832,2025-12-31T14:56:27.549397,.json
.mypy_cache/3.11/typing.meta.json,1135,2025-12-31T14:56:26.680905,.json
.mypy_cache/3.11/_heapq.meta.json,824,2025-12-31T14:56:27.217324,.json
.mypy_cache/3.11/code.data.json,16486,2025-12-31T14:56:27.521425,.json
.mypy_cache/3.11/_lsprof.data.json,18219,2025-12-31T14:56:26.767778,.json
.mypy_cache/3.11/mimetypes.data.json,19057,2025-12-31T14:56:27.283301,.json
.mypy_cache/3.11/_decimal.meta.json,956,2025-12-31T14:56:27.617152,.json
.mypy_cache/3.11/rlcompleter.data.json,6570,2025-12-31T14:56:26.769603,.json
.mypy_cache/3.11/gc.meta.json,836,2025-12-31T14:56:26.969172,.json
.mypy_cache/3.11/pdb.meta.json,1350,2025-12-31T14:56:28.259525,.json
.mypy_cache/3.11/queue.data.json,30233,2025-12-31T14:56:28.374213,.json
.mypy_cache/3.11/_hashlib.data.json,51517,2025-12-31T14:56:27.453466,.json
